release_year,metascore,app_name
2011,92,Galactic Civilizations® II: Ultimate Edition
2011,69,Earth Defense Force: Insect Armageddon
2011,75,X3: Albion Prelude
2013,84,Trine 2: Complete Story
2011,83,Fable - The Lost Chapters
2012,67,Oil Rush
2012,66,King Arthur II: The Role-Playing Wargame
2005,74,Serious Sam 2
2010,76,Star Trek Online
2012,62,Jagged Alliance - Back in Action
2012,62,Pineapple Smash Crew
2012,76,Victoria II: A House Divided
2012,81,PixelJunk™ Eden
2012,82,Crusader Kings II
2012,83,Alan Wake
2011,24,Postal III
2012,46,Starpoint Gemini
2012,82,Realm of the Mad God
2012,86,Rayman® Origins
2012,38,Painkiller: Recurring Evil
2012,81,Vessel
2012,80,Stacking
2012,81,Wizorb
2012,58,Defenders of Ardania
2012,74,Cubemen
2012,80,Myst V
2012,73,Ys: The Oath in Felghana
2012,81,Waveform
2012,86,Total War: Shogun 2 - Fall of the Samurai
2012,78,Tropico 4: Modern Times
2012,72,Ridge Racer™ Unbounded
2012,51,Confrontation
2012,69,Risen 2: Dark Waters
2012,68,Binary Domain
2012,62,Analogue: A Hate Story
2012,71,Toy Soldiers
2010,76,Serious Sam HD: The Second Encounter
2012,48,Resident Evil: Operation Raccoon City
2012,69,Gratuitous Tank Battles
2012,76,Ys Origin
2012,87,Max Payne 3
2012,86,The Lord of the Rings Online™
2012,70,Splice
2012,52,Krater
2012,76,Vindictus
2012,75,The Dark Eye: Chains of Satinav
2012,71,Tom Clancy's Ghost Recon: Future Soldier™
2012,77,Quantum Conundrum
2012,86,Tribes: Ascend
2002,81,Divine Divinity
2012,73,MDK2 HD
2012,82,The Book of Unwritten Tales
2012,65,A Virus Named TOM
2012,75,Hero Academy
2012,75,Iron Brigade
2012,83,Counter-Strike: Global Offensive
2005,85,STAR WARS™ Knights of the Old Republic™ II - The Sith Lords™
2010,76,Din's Curse
2012,78,Closure
2012,91,Batman: Arkham City - Game of the Year Edition
2011,81,To the Moon
2012,80,Intrusion 2
2012,73,The Testament of Sherlock Holmes
2012,44,Cortex Command
2012,74,Rocketbirds: Hardboiled Chicken
2012,78,Rocksmith™
2012,75,Edna & Harvey: Harvey's New Eyes
2012,84,Unity of Command: Stalingrad Campaign
2012,67,Primal Carnage
2012,77,Giana Sisters: Twisted Dreams
2012,60,A Game of Dwarves
2012,85,Hotline Miami
2012,64,Guns of Icarus Online
2006,78,Condemned: Criminal Origins
2004,73,Beyond Divinity
2003,59,POSTAL 2
2012,62,F1 RACE STARS™
2012,78,Chaos on Deponia
2012,53,Gemini Wars
2012,77,Sine Mora
2012,80,Fly'N
2012,66,Memento Mori
2012,74,Call of Duty®: Black Ops II
2012,76,Miasmata
2012,80,Stealth Bastard Deluxe
2005,84,GT Legends
2012,73,The Book of Unwritten Tales: The Critter Chronicles
2012,72,Primordia
2003,70,Legacy of Kain: Defiance
2001,77,Legacy of Kain: Soul Reaver 2
2012,72,A New Beginning - Final Cut
2013,73,Fieldrunners 2
2013,66,Strike Suit Zero
2013,68,The Cave
2013,77,Ace Combat Assault Horizon - Enhanced Edition
2013,85,DmC: Devil May Cry
2013,70,Retrovirus
2013,79,Super House of Dead Ninjas
2013,68,A Valley Without Wind 2
2013,71,March of the Eagles
2013,74,Incredipede
2013,85,Trials Evolution: Gold Edition
1997,56,POSTAL
2013,69,Resident Evil 6 / Biohazard 6
2013,75,Anodyne
2013,61,Evoland
2013,52,Lords of Football
2013,79,Sang-Froid - Tales of Werewolves
2013,68,Cubemen 2
2013,70,Papo & Yo
2013,71,Surgeon Simulator
2013,58,God Mode
2013,74,Eador. Masters of the Broken World
2013,59,Mars: War Logs
2013,75,Poker Night 2
2013,61,StarDrive
2013,77,Sanctum 2
2013,75,Reus
2013,49,Bad Bots
2013,77,Resident Evil Revelations / Biohazard Revelations
2013,88,Expansion - Crusader Kings II: The Old Gods
2013,65,Remember Me
2013,58,Prime World: Defenders
2013,87,Borderlands 2: Tiny Tina's Assault on Dragon Keep
2013,80,Company of Heroes 2
2013,78,The Walking Dead: 400 Days
2013,41,DARK
2013,79,TrackMania² Valley
2013,74,BIT.TRIP FATE
2013,74,The Raven - Legacy of a Master Thief
2013,67,Ittle Dew
2013,76,Shadowrun Returns
2013,20,Citadels
2013,73,CastleStorm
2013,72,Skulls of the Shogun
2013,69,BioShock Infinite: Clash in the Clouds
2013,67,Rise of the Triad
2013,67,Cloudberry Kingdom™
2013,86,Saints Row IV: Inauguration Station
2013,75,Beatbuddy: Tale of the Guardians
2012,64,Inquisitor
2013,80,Dishonored: The Brigmore Witches
2013,66,DuckTales: Remastered
2013,73,Worms Clan Wars
2013,58,Space Hulk
2013,72,PixelJunk™ Monsters Ultimate
2015,79,Assault Android Cactus
2013,69,Shelter
2013,71,Lilly Looking Through
2014,56,BeatBlasters III
2013,68,Game Dev Tycoon
2013,56,Guardians of Middle-earth
2013,80,Outlast
2013,73,MirrorMoon EP
2013,77,Rise of Flight: Ace Pack
2013,63,Dragon's Prophet
2013,69,Ironclad Tactics
2013,69,Foul Play
2013,77,Angry Video Game Nerd Adventures
2013,58,Urban Trial Freestyle
2013,68,Scribblenauts Unmasked: A DC Comics Adventure
2013,52,Alien Rage - Unlimited
2001,86,Startopia
2013,88,The Stanley Parable
2013,78,Soundodger+
2013,85,The Wolf Among Us
2013,80,140
2001,77,Anachronox
2013,59,Face Noir
2013,68,Space Rangers HD: A War Apart
2013,80,Goodbye Deponia
2013,91,Deus Ex: Human Revolution - Director's Cut
2013,62,Contagion
2014,65,Blood of the Werewolf
2013,65,Slender: The Arrival
2013,59,Master Reboot
2013,66,Alone in the Dark: The New Nightmare
2008,55,Alone in the Dark
2013,59,Deadly Premonition: The Director's Cut
2013,79,State of Decay
2013,81,King Arthur's Gold
2013,82,Desktop Dungeons
2013,67,A Walk in the Dark
2013,49,Adventure Park
2013,77,Risk of Rain
2013,67,Long Live The Queen
2013,68,Rain Blood Chronicles: Mirage
2013,73,PixelJunk™ Shooter
2013,86,XCOM: Enemy Within
2013,61,Signal Ops
2013,77,Expansion - Crusader Kings II: Sons of Abraham
2013,75,Ring Runner: Flight of the Sages
2013,39,Montague's Mount
2001,78,Desperados: Wanted Dead or Alive
1997,82,The Last Express Gold Edition
2004,66,Dark Fall 2: Lights Out
2002,68,Dark Fall: The Journal
2013,55,Darkout
2012,81,The Cat Lady
2013,66,Oozi: Earth Adventure
2013,74,Neverwinter
2014,74,Particulars
2005,80,FATE
2006,69,Marc Eckō's Getting Up: Contents Under Pressure
2005,64,Cold War
2014,66,CONSORTIUM
2014,81,Nidhogg
2014,55,Humans Must Answer
2014,74,Insurgency
2013,73,Paper Sorcerer
2014,74,Our Darker Purpose
2014,58,The Castle Doctrine
2001,80,Hostile Waters: Antaeus Rising
2014,77,rymdkapsel
2014,69,Octodad: Dadliest Catch
2014,45,Agarest: Generations of War
2014,66,NaissanceE
2014,67,Eschalon: Book III
2014,84,Ikaruga
2013,66,The Yawhg
2014,58,Castlevania: Lords of Shadow 2
2014,51,Talisman: Digital Edition
2014,53,Windforge
2014,62,Dominique Pamplemousse
2014,87,TowerFall Ascension
2014,60,Constant C
2014,45,Deus Ex: The Fall
2014,80,LUFTRAUSERS
2014,80,BioShock Infinite: Burial at Sea - Episode Two
2014,72,Cloudbuilt
2014,76,Mercenary Kings
2011,71,Black Mirror II
2004,52,Marine Sharpshooter II: Jungle Warfare
2004,77,Perimeter
2006,54,El Matador
2014,77,Actual Sunlight
2013,61,Oknytt
2014,79,Half Minute Hero: The Second Coming
1996,53,Harvester
2014,70,Halo: Spartan Assault
2014,67,Dracula: The Resurrection
2004,35,Konung 2
2003,65,RC Cars
2002,73,Warrior Kings
2014,70,Nostradamus: The Last Prophecy
2006,41,Brigade E5: New Jagged Union
2014,56,Croixleur Sigma
2014,57,Jet Car Stunts
2014,72,Full Bore
2014,56,Croixleur Sigma Demo
2003,64,Warrior Kings: Battles
2014,72,Blade Symphony
2014,72,The Last Tinker™: City of Colors
2014,55,DreadOut
2014,85,BattleBlock Theater®
2008,67,Rhiannon: Curse of the Four Branches
2014,72,Qbeh-1: The Atlas Cube
2014,68,Men of War: Assault Squad 2
2006,72,Perimeter: Emperor's Testament
2014,75,Tropico 5
2014,84,Expansion - Europa Universalis IV: Wealth of Nations
2014,70,Anomaly Defenders
2014,74,Where is my Heart?
2014,76,The Fall
2014,70,Richard & Alice
2014,57,Nether: Resurrected
2014,59,Lifeless Planet Premier Edition
2014,68,Munin
2014,52,Enemy Front
2014,77,Xenonauts
2003,65,Black Mirror I
2014,76,MotoGP™14
2014,80,Company of Heroes 2 - The Western Front Armies
2014,87,Divinity: Original Sin (Classic)
2014,62,Warface
2014,72,MouseCraft
2014,79,Expansion - Europa Universalis IV: Res Publica
2014,60,Magic 2015 - Duels of the Planeswalkers
2014,63,Rulers of Nations
2001,66,The Cameron Files: The Secret at Loch Ness
2014,82,Sokobond
2014,83,Freedom Planet
2014,70,Vertical Drop Heroes HD
2014,73,The Room
2014,85,The Legend of Heroes: Trails in the Sky
2014,57,Sacred 3
2014,78,GRID Autosport - Coupé Style Pack
2014,75,Road Not Taken
2014,59,Orbital Gear
2004,63,Echelon: Wind Warriors
2014,56,Mega Coin Squad
2014,80,Guacamelee! Super Turbo Championship Edition
2014,68,Shadowgate (2014)
2003,63,Curse: The Eye of Isis
2014,80,Super Time Force Ultra
2014,78,The Journey Down: Chapter Two
2014,76,Metro: Last Light Redux
2014,69,Lichdom: Battlemage
2013,60,How to Survive
2014,76,GoD Factory: Wingmen
2014,69,Minimum
2014,61,NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution
2014,82,Endless Legend™
2014,76,WAKFU
2014,72,Heavy Bullets
2006,54,Battle Of Europe
2014,82,Age of Wonders III - Golden Realms Expansion
2014,87,Wasteland 2: Director's Cut
2014,65,Stronghold Crusader 2
2014,81,DG2: Defense Grid 2
2014,73,Pier Solar and the Great Architects
2014,77,Sherlock Holmes: Crimes and Punishments
2014,84,Middle-earth: Shadow of Mordor - GOTY Edition Upgrade
2014,66,Silence of the Sleep
2014,63,Qora
2009,61,Disney G-Force
2014,71,Styx: Master of Shadows
2014,68,Costume Quest 2
2003,84,Tron 2.0
2017,71,Drifting Lands
2014,68,The Evil Within
2014,84,Ultimate General: Gettysburg
2014,61,F1 2014
2014,71,Screencheat
2014,49,Spacebase DF-9
2014,66,BlazeRush
2014,64,Farming Simulator 15
2014,55,Defenders of Time
