release_year,metascore,app_name
2005,78,DOOM 3 Resurrection of Evil
2000,69,QUAKE III: Team Arena
2007,92,Team Fortress 2
2007,90,Half-Life 2: Episode Two
2007,65,Painkiller Overdose
2007,59,Alpha Prime
2007,61,Loki
2007,72,Call of Juarez™
2007,85,Medieval II: Total War™ Kingdoms
2007,92,Call of Duty® 4: Modern Warfare®
2007,67,Kane and Lynch: Dead Men™
2007,76,Geometry Wars: Retro Evolved
2003,72,Commandos 3: Destination Berlin
2006,75,Just Cause
2000,73,Hitman: Codename 47
2002,87,Hitman 2: Silent Assassin
2007,76,Battlestations: Midway
2002,87,Commandos 2: Men of Courage
2006,82,Hitman: Blood Money
2004,80,Vampire: The Masquerade - Bloodlines
2007,82,S.T.A.L.K.E.R.: Shadow of Chernobyl
2006,68,Joint Task Force
2004,85,Thief: Deadly Shadows
2000,90,Deus Ex: Game of the Year Edition
2004,80,Deus Ex: Invisible War
2006,69,Rogue Trooper
2005,76,Project: Snowblind
2007,81,Jade Empire™: Special Edition
2007,62,Silverfall
2007,70,Making History: The Calm & the Storm
2003,74,"Runaway, A Road Adventure"
2007,NA,"Runaway, The Dream of The Turtle"
2003,91,Call of Duty®
2005,87,Psychonauts
2005,76,GUN™
2005,86,Call of Duty® 2
2004,87,Call of Duty: United Offensive
2006,68,Space Empires V
2001,90,Sid Meier's Civilization® III Complete
2005,67,Shattered Union
2005,94,Sid Meier's Civilization® IV
2001,84,Sub Command
2005,67,BloodRayne 2
2006,80,RoboBlitz
2006,88,Medieval II: Total War™
2006,65,Heroes of Annihilated Empires
2017,67,Project Earth
2004,88,Counter-Strike: Source
2004,96,Half-Life 2
2005,88,Sid Meier's Pirates!
2005,84,Darwinia
2005,69,Rag Doll Kung Fu
2005,80,Dungeon Siege II
2006,81,Red Orchestra: Ostfront 41-45
2006,79,Space Empires IV Deluxe
2006,82,Dangerous Waters
2006,73,Earth 2160
2006,74,Shadowgrounds
2006,87,Half-Life 2: Episode One
2006,75,SiN Episodes: Emergence
2005,71,X3: Reunion
2003,72,X2: The Threat
2006,56,Iron Warriors: T - 72 Tank Command
2006,75,Uplink
2006,82,Xpand Rally
2006,72,Dark Messiah of Might & Magic
2000,88,Counter-Strike
2001,81,Gothic 1
2001,71,Half-Life: Blue Shift
2002,88,Mafia
2003,79,Day of Defeat
2004,93,Unreal Tournament 2004: Editor's Choice Edition
2004,65,Counter-Strike: Condition Zero
